confidence,robustness,distribution,reliability
0.9447287720333652,0.9999999999999999,0.7904711327605622,0.9072585135422436
0.9803001876172608,1.0,0.8590882094592087,0.9443484709310843
0.9439807411998085,1.0,0.9110729197732202,0.9509815487906024
0.9890109890109894,1.0,0.8383037213069862,0.9394366597808138
0.9999999999999998,1.0,0.7713467428403721,0.9170996970649726
0.8754755753644786,0.9999999999999999,0.7097377508510087,0.85332403853016
0.8666433820420882,0.9999999999999999,0.6530495910673644,0.827171436080537
0.9333955196524018,0.9999999999999996,0.6008892268755464,0.8246823691479225
0.9634772985472628,0.9999999999999996,0.5528950142744159,0.8106400442034603
0.9999999999999997,1.0,0.5087341944854346,0.7982954302598766
0.9999999999999997,1.0,0.4681005868327285,0.776449226881907
0.9999999999999997,1.0,0.4307124658973917,0.7552008680912179
0.9999999999999997,1.0,0.3963106082276785,0.7345339932349143
0.9999999999999997,1.0,0.36465649506232134,0.714432689386766
0.9999999999999997,1.0,0.3355306586058974,0.6948814790946913
0.6446694636076757,0.9999999999999998,0.3087311603904567,0.583856144166063
0.6446694636076757,1.0,0.2840721911734197,0.5678782998925757
0.6446694636076757,0.9999999999999998,0.26138278266440373,0.5523377063189031
0.6446694636076757,1.0,0.24050562214897858,0.5372223976146607
0.6446694636076757,1.0,0.2212959617907709,0.5225207354071373
0.6355776788053445,1.0,0.20362061504976892,0.5058209277842437
0.6355776788053445,1.0,0.18735703325868514,0.49197860019180023
0.6355776788053445,0.9999999999999998,0.1723924559549938,0.4785150826142287
0.6355776788053445,0.9999999999999998,0.15862312907763138,0.46542000851263543
0.6355776788053445,1.0,0.14595358560787441,0.45268329503948757
0.6355776788053445,1.0,0.13429598366685566,0.4402951352750973
0.6355776788053445,0.9999999999999998,0.12356949748054238,0.42824599067656294
0.6355776788053445,1.0,0.11369975698954783,0.41652658373335316
0.6355776788053445,0.9999999999999998,0.10461833221841697,0.4051278908238779
0.6355776788053445,0.9999999999999998,0.09626225882935892,0.39404113526754814
0.6355776788053445,1.0,0.08857360157094189,0.38325778056697263
0.6355776788053445,1.0,0.08149905259500546,0.37276952383508866
0.6355776788053445,0.9999999999999998,0.0749895618567974,0.3625682894021681
0.6355776788053445,1.0,0.06899999703578222,0.3526462225977724
0.6355776788053445,0.9999999999999998,0.06348883061924973,0.3429956837028727
0.6355776788053445,0.9999999999999998,0.05841785197917412,0.3336092420674754
0.6355776788053445,1.0,0.053751902446065675,0.3244796703892262
0.6355776788053445,0.9999999999999998,0.04945863154299784,0.31559993914858514
0.6355776788053445,0.9999999999999998,0.045508272689705795,0.3069632111962901
0.6355776788053445,0.9999999999999998,0.04187343682164269,0.2985628364889394
0.8887616026483576,0.9999999999999999,0.8137652443893792,0.8976247255045512
0.937137436417984,1.0,0.8844043732263238,0.9393297043790529
